 . . . the implication is kissinger may have decided that — when it comes to truncheoning — it's better to give than to receive . ,+
"if there was ever a movie where the upbeat ending feels like a copout , this is the one . ",-
"a strong script , powerful direction and splendid production design allows us to be transported into the life of wladyslaw szpilman , who is not only a pianist , but a good human being . ",+
"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . ",-
"apallingly absurd . . . the chemistry or lack thereof between newton and wahlberg could turn an imax theater into a 9 "" black and white portable tv . ",-
the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better . ,+
the film desperately sinks further and further into comedy futility . ,-
"anyone who's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved . these people are really going to love the piano teacher . ",+
"graphic sex may be what's attracting audiences to unfaithful , but gripping performances by lane and gere are what will keep them awake . ",+
a mesmerizing cinematic poem from the first frame to the last . ,+
"the fact is that the screen is most alive when it seems most likely that broomfield's interviewees , or even himself , will not be for much longer . ",+
"an often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century . ",+
"made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude . ",+
[hell is] looking down at your watch and realizing serving sara isn't even halfway through . ,-
" "" juwanna mann ? "" no thanks . wewannour money back , actually . ",-
"i'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap cliché . ",-
"serviceable at best , slightly less than serviceable at worst . ",-
"as home movie gone haywire , it's pretty enjoyable , but as sexual manifesto , i'd rather listen to old tori amos records . ",+
"the climactic events are so well realized that you may forget all about the original conflict , just like the movie does",+
"confessions isn't always coherent , but it's sharply comic and surprisingly touching , so hold the gong . ",+
"light-years ahead of paint-by-number american blockbusters like pearl harbor , at least artistically . ",+
schütte's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close . ,+
[l]ame and unnecessary . ,-
"despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing . ",-
"rambles on in a disjointed , substandard fashion from one poorly executed action sequence to the next . ",-
it has that rare quality of being able to creep the living hell out of you . . . ,+
"feardotcom's thrills are all cheap , but they mostly work . ",+
it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline . ,+
"henry bean's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect",+
for dance completists only . ,-
"this one is a few bits funnier than malle's dud , if only because the cast is so engagingly messing around like slob city reductions of damon runyon crooks . ",-
"it's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones's diary . ",-
"though it was made with careful attention to detail and is well-acted by james spader and maggie gyllenhaal , i felt disrespected . ",-
eight legged freaks ? no big hairy deal . ,-
provide[s] nail-biting suspense and credible characters without relying on technology-of-the-moment technique or pretentious dialogue . ,+
a movie of technical skill and rare depth of intellect and feeling . ,+
sometimes makes less sense than the bruckheimeresque american action flicks it emulates . ,-
"everybody loves a david and goliath story , and this one is told almost entirely from david's point of view . ",-
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . ",+
"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end . ",-
"what is captured during the conceptual process doesn't add up to a sufficient explanation of what the final dance work , the selection , became in its final form . ",-
"the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by . ",+
the most surprising thing about this film is that they are actually releasing it into theaters . ,-
"a wild , endearing , masterful documentary . ",+
kapur's contradictory feelings about his material result in a movie that works against itself . ,-
it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff . ,-
a limp eddie murphy vehicle that even he seems embarrassed to be part of . ,-
it's a masterpiece . ,+
whether quitting will prove absorbing to american audiences is debatable . ,-
an enjoyable feel-good family comedy regardless of race . ,+
less worrying about covering all the drama in frida's life and more time spent exploring her process of turning pain into art would have made this a superior movie . ,-
you can practically hear george orwell turning over . ,-
i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring . ,-
"naipaul fans may be disappointed . those who are not acquainted with the author's work , on the other hand , may fall fast asleep . ",-
"by the time the surprise ending is revealed , interest cannot be revived . ",-
coral reef adventure is a heavyweight film that fights a good fight on behalf of the world's endangered reefs -- and it lets the pictures do the punching . ,+
"a relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale . ",-
"a hugely rewarding experience that's every bit as enlightening , insightful and entertaining as grant's two best films -- four weddings and a funeral and bridget jones's diary . ",+
this movie is maddening . it conveys a simple message in a visual style that is willfully overwrought . ,-
"the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe . ",-
two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated . ,+
deserves high marks for political courage but barely gets by on its artistic merits . ,-
only two-fifths of a satisfying movie experience . ,-
"the film is about the relationships rather than about the outcome . and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen . ",+
"visually breathtaking , viscerally exciting , and dramatically moving , it's the very definition of epic adventure . ",+
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today's hollywood . ",-
"bray is completely at sea ; with nothing but a savage garden music video on his resume , he has no clue about making a movie . ",-
how this one escaped the lifetime network i'll never know . ,-
not since ghostbusters has a film used manhattan's architecture in such a gloriously goofy way . ,+
"parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone . . . that ultimately dulls the human tragedy at the story's core . ",-
get out your pooper-scoopers . ,-
the solid filmmaking and convincing characters makes this a high water mark for this genre . ,+
"while puerile men dominate the story , the women shine . ",+
"the film contains no good jokes , no good scenes , barely a moment when carvey's saturday night live-honed mimicry rises above the level of embarrassment . ",-
"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . ",+
"for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed 'surprises . '",-
"on its own staggeringly unoriginal terms , this gender-bending comedy is generally quite funny . ",+
funny but perilously slight . ,+
not one moment in the enterprise didn't make me want to lie down in a dark room with something cool to my brow . ,-
"we never feel anything for these characters , and as a result the film is basically just a curiosity . ",-
"the production values are up there . the use of cgi and digital ink-and-paint make the thing look really slick . the voices are fine as well . the problem , it is with most of these things , is the script . ",-
"no , it's not nearly as good as any of its influences . ",-
"very special effects , brilliantly bold colors and heightened reality can't hide the giant achilles' heel in "" stuart little 2 "" : there's just no story , folks . ",-
just dreadful . i don't blame eddie murphy but shouldn't owen wilson know a movie must have a story and a script ? ,-
"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge . ",-
so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt . ,+
the story and structure are well-honed . fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away . ,+
black-and-white and unrealistic . ,-
what's really sad is to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that's tv sitcom material at best . ,-
"borrows a bit from the classics "" wait until dark "" and "" extremities "" . . . but in terms of its style , the movie is in a class by itself . ",+
"it made me want to get made-up and go see this movie with my sisters . i thought the relationships were wonderful , the comedy was funny , and the love 'real' . ",+
"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . ",+
"anemic , pretentious . ",-
a classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached . ,+
"the plot has a number of holes , and at times it's simply baffling . ",-
this is amusing for about three minutes . ,-
about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook . ,-
"purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that u . s . foreign policy has played in the rise of castro . ",+
"lanie's professional success means she must be a failure at life , because she's driven by ambition and doesn't know how to have fun . ",-
obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ! the movie will reach far beyond its core demographic . ,-
seagal is painfully foolish in trying to hold onto what's left of his passe' chopsocky glory . ,-
"it's nice to see piscopo again after all these years , and chaykin and headly are priceless . ",+
mushes the college-friends genre ( the big chill ) together with the contrivances and overwrought emotion of soap operas . ,-
"stealing harvard is evidence that the farrelly bros . -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green's half-hearted movie career . ",-
"debut effort by "" project greenlight "" winner is sappy and amateurish . ",-
"the humor isn't as sharp , the effects not as innovative , nor the story as imaginative as in the original . but it could have been worse . ",-
"a thoughtful , reverent portrait of what is essentially a subculture , with its own rules regarding love and family , governance and hierarchy . ",+
"examines its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers . ",+
"the title , alone , should scare any sane person away . ",-
"miyazaki's nonstop images are so stunning , and his imagination so vivid , that the only possible complaint you could have about spirited away is that there is no rest period , no timeout . ",+
"boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie . ",-
"here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . but taken as a stylish and energetic one-shot , the queen of the damned cannot be said to suck . ",+
an excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay . ,-
obvious,-
"i'm sure the filmmaker would disagree , but , honestly , i don't see the point . it's a visual rorschach test and i must have failed . ",-
writer-director ritchie reduces wertmuller's social mores and politics to tiresome jargon . ,-
"succumbs to the same kind of maudlin , sentimental mysticism that mars the touched by an angel school of non-god spiritual-uplift movies . ",-
brings awareness to an issue often overlooked -- women's depression . ,+
"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . ",+
"i enjoyed the movie in a superficial way , while never sure what its purpose was . ",-
"star trek : nemesis meekly goes where nearly every star trek movie has gone before . wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . ",-
lawrence preaches strictly to the converted . ,-
represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema . ,+
there's no denying that burns is a filmmaker with a bright future ahead of him . ,+
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment . ",+
a small independent film suffering from a severe case of hollywood-itis . ,-
"the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight . ",+
a poky and pseudo-serious exercise in sham actor workshops and an affected malaise . ,-
"some actors steal scenes . tom green just gives them a bad odor . this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he's the most obvious one . ",-
it's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead . ,-
"it's an ambitious film , and as with all ambitious films , it has some problems . but on the whole , you're gonna like this movie . ",+
little more than a super-sized infomercial for the cable-sports channel and its summer x games . ,-
horrendously amateurish filmmaking that is plainly dull and visually ugly when it isn't incomprehensible . ,-
 . . . they missed the boat . ,-
"when the precise nature of matthew's predicament finally comes into sharp focus , the revelation fails to justify the build-up . ",-
a processed comedy chop suey . ,-
"equilibrium the movie , as opposed to the manifesto , is really , really stupid . ",-
"de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork . but like bruce springsteen's gone-to-pot asbury park , new jersey , this sad-sack waste of a movie is a city of ruins . ",-
the film is bright and flashy in all the right ways . ,+
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist . ",+
"though it inspires some ( out-of-field ) creative thought , the film is -- to its own detriment -- much more a cinematic collage than a polemical tract . ",-
"the problem is that rather than dramatizing this premise , mr . desplechin is content to state it . ",-
has a shambling charm . . . a cheerfully inconsequential diversion . ,+
"when a film is created solely because it's a marketable product , soulless and ugly movies like this are the result . let your silly childhood nostalgia slumber unmolested . ",-
"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial . ",-
" "" the kid stays in the picture "" is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat . ",-
"a gimmick in search of a movie : how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned . ",-
"in its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation . ",+
one of those unassuming films that sneaks up on you and stays with you long after you have left the theatre . ,+
a soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for nba properties . ,-
 . . . a pretentious mess . . . ,-
just an average comedic dateflick but not a waste of time . ,-
"a powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s . ",+
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down . ,+
"even though it's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you can't help but get caught up in the thrill of the company's astonishing growth . ",+
"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . ",+
a film that's flawed and brilliant in equal measure . ,+
it's a glorious spectacle like those d . w . griffith made in the early days of silent film . ,+
"más sarcástica , divertida y demencial que su predecesora , es un buen ejemplo de lo que es el cine de entretenimiento puro y sin complejos . ",+
"the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge . these are names to remember , in order to avoid them in the future . ",-
this is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the american underground . ,+
dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee . ,+
"desta vez , columbus capturou o pomo de ouro . ",+
a frustrating combination of strained humor and heavy-handed sentimentality . ,-
the picture doesn't know it's a comedy . ,-
"the last kiss will probably never achieve the popularity of my big fat greek wedding , but its provocative central wedding sequence has far more impact . ",+
"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original . ",+
"verbinski substitutes atmosphere for action , tedium for thrills . ",-
"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately don't enable them to discern flimsy screenplays . ",-
"technically , the film is about as interesting as an insurance commercial . ",-
"for the first time in several years , mr . allen has surpassed himself with the magic he's spun with the hollywood empress of ms . leoni's ellie . ",+
"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches isn't exactly endearing . ",-
"an empty , ugly exercise in druggy trance-noir and trumped-up street credibility . ",-
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . ",+
it will delight newcomers to the story and those who know it from bygone days . ,+
dilbert without the right-on satiric humor . ,-
"…an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller . ",+
a well-made and often lovely depiction of the mysteries of friendship . ,+
don't hate el crimen del padre amaro because it's anti-catholic . hate it because it's lousy . ,-
"for decades we've marveled at disney's rendering of water , snow , flames and shadows in a hand-drawn animated world . prepare to marvel again . ",+
"creeps you out in high style , even if nakata did it better . ",+
this film puts wang at the forefront of china's sixth generation of film makers . ,+
"this is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , scorsese's best in more than a decade . ",+
to portray modern women the way director davis has done is just unthinkable . ,-
"while the mystery unravels , the characters respond by hitting on each other . ",-
"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it . ",+
an estrogen opera so intensely feminine that it serves as the antidote ( and cannier doppelganger ) to diesel's xxx flex-a-thon . ,+
manages to be both hugely entertaining and uplifting . ,+
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas . ",-
what the director can&#8217 ; t do is make either of val kilmer&#8217 ; s two personas interesting or worth caring about . ,-
an ambitious and moving but bleak film . ,+
the footage of the rappers at play and the prison interview with suge knight are just two of the elements that will grab you . ,+
"because the genre is well established , what makes the movie fresh is smart writing , skewed characters , and the title performance by kieran culkin . ",+
"goyer's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast . ",+
"if the plot seems a bit on the skinny side , that's because panic room is interested in nothing more than sucking you in…and making you sweat . ",+
"in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight . ",+
"first good , then bothersome . excellent acting and direction . ",-
achieves a sort of filmic epiphany that revels in the true potential of the medium . ,+
"given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bit of sympathy the cons can muster ; this time , there isn't much . ",-
" "" looking for leonard "" just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something . ",-
it thankfully goes easy on the reel/real world dichotomy that [jaglom] pursued with such enervating determination in venice/venice . ,+
"it's still adam sandler , and it's not little nicky . and for many of us , that's good enough . ",+
"this isn't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work . ",+
always destined to be measured against anthony asquith's acclaimed 1952 screen adaptation . ,-
[a] strong piece of work . ,+
director david fincher and writer david koepp can't sustain it . ,-
"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . ",+
"personal velocity has a no-frills docu-dogma plainness , yet miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire . she boxes these women's souls right open for us . ",+
kept aloft largely by a comically adept ensemble . ,+
"mr . deeds is , as comedy goes , very silly -- and in the best way . ",+
a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship . ,-
just about the surest bet for an all-around good time at the movies this summer . ,+
deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance . ,+
"here , adrian lyne comes as close to profundity as he is likely to get . ",+
this one aims for the toilet and scores a direct hit . ,-
"it's not going to be everyone's bag of popcorn , but it definitely gives you something to chew on . ",+
what sets ms . birot's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents . ,+
a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music . ,+
"obviously , a lot of people wasted a lot of their time ( including mine ) on something very inconsequential . ",-
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",-
"the master of disguise is funny--not "" ha ha "" funny , "" dead circus performer "" funny . and for all the wrong reasons besides . ",-
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers' oeuvre gets way too mushy -- and in a relatively short amount of time . ,-
" "" mr . deeds "" is suitable summer entertainment that offers escapism without requiring a great deal of thought . ",+
"qutting may be a flawed film , but it is nothing if not sincere . ",+
the cast is uniformly excellent and relaxed . ,+
"elling really is about a couple of crazy guys , and it's therapeutic to laugh along with them . ",+
"scene-by-scene , things happen , but you'd be hard-pressed to say what or why . ",-
"if you've grown tired of going where no man has gone before , but several movies have - take heart . this is the best star trek movie in a long time . ",+
"this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters . ",+
"visually , 'santa clause 2' is wondrously creative . ",+
"there are some laughs in this movie , but williams' anarchy gets tiresome , the satire is weak . ",-
it's hard to imagine alan arkin being better than he is in this performance . ,+
"old people will love this movie , and i mean that in the nicest possible way : last orders will touch the heart of anyone old enough to have earned a 50-year friendship . ",+
the worst kind of independent ; the one where actors play dress down hicks and ponderously mope around trying to strike lightning as captured by their 1970s predecessors,-
"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't avert our eyes for a moment . ",+
two generations within one family test boundaries in this intelligent and restrained coming-of-age drama . ,+
 . . . this movie has a glossy coat of action movie excess while remaining heartless at its core . ,-
the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored . ,-
"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death",-
a brilliant gag at the expense of those who paid for it and those who pay to see it . ,+
"a gentle blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills . ",+
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child's interest and an adult's patience . but it also has many of the things that made the first one charming . ,+
any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things . ,-
[stephen] earnhart's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have . ,+
"the script is a disaster , with cloying messages and irksome characters . ",-
"it may not be a great piece of filmmaking , but its power comes from its soul's-eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case . ",+
"aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships . ",-
"the hard-to-predict and absolutely essential chemistry between the down-to-earth bullock and the nonchalant grant proves to be sensational , and everything meshes in this elegant entertainment . ",+
"inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening . ",+
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man . ",+
the cast is top-notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael . ,+
it's a movie -- and an album -- you won't want to miss . ,+
"if you really want to understand what this story is really all about , you're far better served by the source material . ",-
"though impostor deviously adopts the guise of a modern motion picture , it too is a bomb . ",-
"the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me . ",+
"viewers of "" the ring "" are more likely to remember the haunting images than the plot holes . ",+
an extraordinary dramatic experience . ,+
"with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable "" formula 51 "" is somewhat entertaining , but it could have been much stronger . ",-
labute's careful handling makes the material seem genuine rather than pandering . ,+
"we're left with a story that tries to grab us , only to keep letting go at all the wrong moments . ",-
"though the film is well-intentioned , one could rent the original and get the same love story and parable . ",-
"an exceptionally acted , quietly affecting cop drama . ",+
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another 'spectacular spectacle . '",+
"for those who like quirky , slightly strange french films , this is a must ! ",+
"a few hours after you've seen it , you forget you've been to the movies . ",-
"egoyan's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose . ",-
the difference between cho and most comics is that her confidence in her material is merited . ,+
dawdles and drags when it should pop ; it doesn't even have the virtue of enough mindless violence to break up the tedium of all its generational bonding . ,-
"the bottom line , at least in my opinion , is imposter makes a better short story than it does a film . ",-
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen . ",+
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director . ",+
